Result: collision
Goal: [-29.4867741339313, -20.81167490980159, 1.9198757319042983, 106.77611394507467, 19.367901196645704, -47.72832294803526]
Steps: 31
Start: [21.032567678809254, -1.883927070554746, -26.77951769564361, 73.38354153430419, -7.962933757306246, -90.44516688360218]
End: [37.255848266112174, -3.081816317672789, 21.13516324970217, 32.10393130839785, 71.24914945207098, -149.28563522825658]
Start distance: 61.1mm
End distance: 71.7mm

Step 001 (dist=61.1mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=61.1, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[2.8,-21.5,12.9], goal_w=[-50.5,-18.9,28.7]
Step 002 (dist=60.7mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.7, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[1.9,-21.9,10.1], goal_w=[-51.4,-19.3,25.9]
Step 003 (dist=60.4mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.4, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[1.0,-22.3,7.3], goal_w=[-52.2,-19.7,23.0]
Step 004 (dist=60.3mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.3, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[0.2,-22.7,4.4], goal_w=[-53.1,-20.1,20.2]
Step 005 (dist=60.3mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.3, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-0.7,-23.1,1.6], goal_w=[-54.0,-20.5,17.3]
Step 006 (dist=60.4mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.4, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[0.3,-18.2,-1.8], goal_w=[-54.8,-20.9,14.5]
Step 007 (dist=60.4mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.4, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-2.4,-23.1,-4.1], goal_w=[-55.6,-20.5,11.6]
Step 008 (dist=60.9mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=60.9, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-1.3,-18.2,-7.6], goal_w=[-56.5,-20.9,8.8]
Step 009 (dist=61.2mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=61.2, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-4.0,-23.1,-9.9], goal_w=[-57.3,-20.5,5.9]
Step 010 (dist=61.9mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=61.9, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-3.0,-18.2,-13.3], goal_w=[-58.2,-20.9,3.1]
Step 011 (dist=62.5mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=62.5, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-5.7,-23.1,-15.6], goal_w=[-59.0,-20.5,0.2]
