Result: timeout - The initial situation is similar to episode 100, the first part of the path is the same, then the detachment started to do the right things, but I still can’t get out, the vase has a narrow neck and the detachment didn’t work as it should?
Goal: [-27.729990511286058, -5.0932279938371545, -3.689441731315572, 112.45179200500634, -24.575695034638745, 88.68590705450602]
Steps: 500
Start: [-23.620410380186982, 14.581469168213502, -27.728004137299955, 152.0142248182974, -30.723594364897764, -164.81109524900256]
End: [-131.01932927519422, 12.78380453870635, -115.68820459594251, 0.0, -30.0, 0.0]
Start distance: 31.3mm
End distance: 153.4mm

Step 001 (dist=31.3mm): source: sac, act_name: move_tangentially
Step 002 (dist=32.3mm): source: sac, act_name: move_tangentially
Step 003 (dist=34.3mm): source: sac, act_name: move_tangentially
Step 004 (dist=34.9mm): source: sac, act_name: move_tangentially
Step 005 (dist=32.9mm): source: sac, act_name: move_tangentially
Step 006 (dist=32.0mm): source: sac, act_name: move_tangentially
Step 007 (dist=33.9mm): source: sac, act_name: move_tangentially
Step 008 (dist=34.8mm): source: sac, act_name: move_tangentially
Step 009 (dist=36.8mm): source: sac, act_name: move_tangentially
Step 010 (dist=34.9mm): source: sac, act_name: move_tangentially
Step 011 (dist=33.1mm): source: sac, act_name: move_tangentially
Step 012 (dist=32.2mm): source: sac, act_name: move_tangentially
Step 013 (dist=33.1mm): source: sac, act_name: move_tangentially
Step 014 (dist=35.0mm): source: sac, act_name: move_tangentially
Step 015 (dist=36.9mm): source: sac, act_name: move_tangentially
Step 016 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 017 (dist=37.0mm): source: sac, act_name: move_tangentially
Step 018 (dist=35.1mm): source: sac, act_name: move_tangentially
Step 019 (dist=36.9mm): source: sac, act_name: move_tangentially
Step 020 (dist=37.7mm): source: sac, act_name: move_tangentially
Step 021 (dist=37.1mm): source: sac, act_name: move_tangentially
Step 022 (dist=39.0mm): source: sac, act_name: move_tangentially
Step 023 (dist=38.1mm): source: sac, act_name: move_tangentially
Step 024 (dist=38.9mm): source: sac, act_name: move_tangentially
