Result: success - Initially, neither the agent nor the target are visible, apparently inside. Then there are other views where the target is on the outer wall. And then, a miracle: the agent appears through the wall and there is no collision. A bug.
Goal: [16.41998278835931, 25.817672190694047, 6.717018137137794, -69.27812245021138, 11.017817580046035, -26.802253631010963]
Steps: 208
Start: [-5.11149537775448, -9.64017322478517, -28.263158798217773, 0.0, 0.0, 0.0]
End: [18.77862752700713, 23.441059052451326, 8.260532151934122, -69.0704201159202, 13.527548214643133, -31.45035574482182]
Start distance: 54.3mm
End distance: 3.7mm

Step 001 (dist=54.3mm): source: sac, act_name: move_tangentially
Step 002 (dist=52.4mm): source: sac, act_name: move_tangentially
Step 003 (dist=50.2mm): source: sac, act_name: move_tangentially
Step 004 (dist=51.4mm): source: sac, act_name: move_tangentially
Step 005 (dist=53.7mm): source: sac, act_name: move_tangentially
Step 006 (dist=53.4mm): source: sac, act_name: move_tangentially
Step 007 (dist=55.7mm): source: sac, act_name: move_tangentially
Step 008 (dist=57.5mm): source: sac, act_name: move_tangentially
Step 009 (dist=56.1mm): source: sac, act_name: move_tangentially
Step 010 (dist=54.2mm): source: sac, act_name: move_tangentially
Step 011 (dist=54.1mm): source: sac, act_name: move_tangentially
Step 012 (dist=56.4mm): source: sac, act_name: move_tangentially
Step 013 (dist=54.7mm): source: sac, act_name: move_tangentially
Step 014 (dist=57.0mm): source: sac, act_name: move_tangentially
Step 015 (dist=54.7mm): source: sac, act_name: move_tangentially
Step 016 (dist=54.8mm): source: sac, act_name: move_tangentially
Step 017 (dist=56.4mm): source: sac, act_name: move_tangentially
Step 018 (dist=54.7mm): source: sac, act_name: move_tangentially
Step 019 (dist=57.0mm): source: sac, act_name: move_tangentially
Step 020 (dist=59.3mm): source: sac, act_name: move_tangentially
Step 021 (dist=58.3mm): source: sac, act_name: move_tangentially
Step 022 (dist=56.8mm): source: sac, act_name: move_tangentially
Step 023 (dist=58.7mm): source: sac, act_name: move_tangentially
Step 024 (dist=57.3mm): source: sac, act_name: move_tangentially
Step 025 (dist=59.7mm): source: sac, act_name: move_tangentially
Step 026 (dist=59.3mm): source: sac, act_name: move_tangentially
Step 027 (dist=60.7mm): source: sac, act_name: move_tangentially
Step 028 (dist=59.2mm): source: sac, act_name: move_tangentially
Step 029 (dist=56.9mm): source: sac, act_name: move_tangentially
Step 030 (dist=58.3mm): source: sac, act_name: move_tangentially
Step 031 (dist=56.0mm): source: sac, act_name: move_tangentially
Step 032 (dist=53.7mm): source: sac, act_name: move_tangentially
Step 033 (dist=56.0mm): source: sac, act_name: move_tangentially
Step 034 (dist=57.5mm): source: sac, act_name: move_tangentially
Step 035 (dist=55.8mm): source: sac, act_name: move_tangentially
Step 036 (dist=54.2mm): source: sac, act_name: move_tangentially
Step 037 (dist=56.5mm): source: sac, act_name: move_tangentially
Step 038 (dist=54.2mm): source: sac, act_name: move_tangentially
Step 039 (dist=56.0mm): source: sac, act_name: move_tangentially
Step 040 (dist=57.9mm): source: sac, act_name: move_tangentially
Step 041 (dist=56.5mm): source: sac, act_name: move_tangentially
Step 042 (dist=57.0mm): source: sac, act_name: move_tangentially
Step 043 (dist=56.5mm): source: sac, act_name: move_tangentially
Step 044 (dist=54.6mm): source: sac, act_name: move_tangentially
Step 045 (dist=54.3mm): source: sac, act_name: move_tangentially
Step 046 (dist=52.6mm): source: sac, act_name: move_tangentially
