Result: collision
Goal: [25.85366971068586, 2.724694440333245, 2.260219589131612, -112.45179200500634, 24.57569503463876, 88.68590705450602]
Steps: 168
Start: [-4.5722580936025725, -21.653860762153695, 29.58694335332183, 69.6066711525732, -4.661805307222579, -12.331836652970878]
End: [39.26429152867649, -0.3099716402854782, -7.120544589203748, -151.3593335004714, 50.047381506830874, -157.28304717788149]
Start distance: 47.6mm
End distance: 16.6mm

Step 001 (dist=47.6mm): source: sac, act_name: detach
Step 002 (dist=46.9mm): source: q_store, act_name: free_forward
Step 003 (dist=40.1mm): source: q_store, act_name: free_forward
Step 004 (dist=33.9mm): source: q_store, act_name: free_forward
Step 005 (dist=28.6mm): source: q_store, act_name: free_forward
Step 006 (dist=24.8mm): source: q_store, act_name: turn_left_big
Step 007 (dist=24.8mm): source: q_store, act_name: free_forward
Step 008 (dist=22.1mm): source: q_store, act_name: look_down_big
Step 009 (dist=22.1mm): source: q_store, act_name: look_down_big
Step 010 (dist=22.1mm): source: q_store, act_name: turn_left_big
Step 011 (dist=22.1mm): source: q_store, act_name: look_down_big
Step 012 (dist=22.1mm): source: sac, act_name: move_tangentially
Step 013 (dist=18.9mm): source: sac, act_name: move_tangentially
Step 014 (dist=21.4mm): source: sac, act_name: move_tangentially
Step 015 (dist=22.0mm): source: sac, act_name: move_tangentially
Step 016 (dist=24.2mm): source: sac, act_name: move_tangentially
Step 017 (dist=25.3mm): source: sac, act_name: move_tangentially
Step 018 (dist=26.8mm): source: sac, act_name: move_tangentially
Step 019 (dist=27.2mm): source: sac, act_name: move_tangentially
Step 020 (dist=29.2mm): source: sac, act_name: move_tangentially
Step 021 (dist=28.7mm): source: sac, act_name: move_tangentially
Step 022 (dist=30.1mm): source: sac, act_name: move_tangentially
Step 023 (dist=28.7mm): source: sac, act_name: move_tangentially
Step 024 (dist=26.7mm): source: sac, act_name: move_tangentially
Step 025 (dist=29.2mm): source: sac, act_name: move_tangentially
Step 026 (dist=31.1mm): source: sac, act_name: move_tangentially
Step 027 (dist=28.7mm): source: sac, act_name: move_tangentially
Step 028 (dist=30.7mm): source: sac, act_name: move_tangentially
Step 029 (dist=33.0mm): source: sac, act_name: move_tangentially
Step 030 (dist=31.8mm): source: sac, act_name: move_tangentially
Step 031 (dist=31.2mm): source: sac, act_name: move_tangentially
Step 032 (dist=31.8mm): source: sac, act_name: move_tangentially
Step 033 (dist=30.9mm): source: sac, act_name: move_tangentially
Step 034 (dist=31.8mm): source: sac, act_name: move_tangentially
Step 035 (dist=34.0mm): source: sac, act_name: move_tangentially
Step 036 (dist=36.0mm): source: sac, act_name: move_tangentially
Step 037 (dist=36.8mm): source: sac, act_name: move_tangentially
Step 038 (dist=37.7mm): source: sac, act_name: detach
Step 039 (dist=36.4mm): source: q_store, act_name: free_forward
Step 040 (dist=30.3mm): source: q_store, act_name: free_forward
Step 041 (dist=25.1mm): source: q_store, act_name: free_forward
Step 042 (dist=21.8mm): source: q_store, act_name: look_down_big
Step 043 (dist=21.8mm): source: q_store, act_name: look_down_big
Step 044 (dist=21.8mm): source: q_store, act_name: free_forward
Step 045 (dist=19.0mm): source: q_store, act_name: free_forward
Step 046 (dist=19.3mm): source: q_store, act_name: look_down_big
Step 047 (dist=19.3mm): source: q_store, act_name: look_down_big
Step 048 (dist=19.3mm): source: q_store, act_name: free_forward
Step 049 (dist=21.1mm): source: q_store, act_name: look_down_big
Step 050 (dist=21.1mm): source: q_store, act_name: free_forward
Step 051 (dist=24.5mm): source: q_store, act_name: turn_left_big
Step 052 (dist=24.5mm): source: q_store, act_name: turn_left_big
Step 053 (dist=24.5mm): source: q_store, act_name: turn_left_big
Step 054 (dist=24.5mm): source: q_store, act_name: turn_left_big
Step 055 (dist=24.5mm): source: q_store, act_name: free_forward
Step 056 (dist=24.5mm): source: q_store, act_name: turn_left_big
Step 057 (dist=24.5mm): source: q_store, act_name: look_down_big
Step 058 (dist=24.5mm): source: q_store, act_name: look_down_big
Step 059 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 060 (dist=17.4mm): source: sac, act_name: move_tangentially
Step 061 (dist=16.3mm): source: sac, act_name: move_tangentially
Step 062 (dist=15.2mm): source: sac, act_name: move_tangentially
Step 063 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 064 (dist=16.5mm): source: sac, act_name: move_tangentially
Step 065 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 066 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 067 (dist=17.2mm): source: sac, act_name: move_tangentially
Step 068 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 069 (dist=18.3mm): source: sac, act_name: move_tangentially
Step 070 (dist=17.0mm): source: sac, act_name: move_tangentially
Step 071 (dist=19.2mm): source: sac, act_name: move_tangentially
Step 072 (dist=18.5mm): source: sac, act_name: move_tangentially
Step 073 (dist=19.2mm): source: sac, act_name: move_tangentially
Step 074 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 075 (dist=17.6mm): source: sac, act_name: move_tangentially
Step 076 (dist=15.1mm): source: sac, act_name: move_tangentially
Step 077 (dist=15.7mm): source: sac, act_name: move_tangentially
Step 078 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 079 (dist=19.2mm): source: sac, act_name: move_tangentially
Step 080 (dist=21.2mm): source: sac, act_name: move_tangentially
Step 081 (dist=19.8mm): source: sac, act_name: move_tangentially
Step 082 (dist=18.9mm): source: sac, act_name: move_tangentially
Step 083 (dist=21.1mm): source: sac, act_name: move_tangentially
Step 084 (dist=18.9mm): source: sac, act_name: move_tangentially
Step 085 (dist=16.7mm): source: sac, act_name: move_tangentially
Step 086 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 087 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 088 (dist=12.2mm): source: sac, act_name: move_tangentially
Step 089 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 090 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 091 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 092 (dist=10.5mm): source: sac, act_name: move_tangentially
Step 093 (dist=11.8mm): source: q_store, act_name: move_tangentially
Step 094 (dist=10.5mm): source: sac, act_name: move_tangentially
Step 095 (dist=12.8mm): source: sac, act_name: move_tangentially
Step 096 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 097 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 098 (dist=14.0mm): source: sac, act_name: move_tangentially
Step 099 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 100 (dist=18.3mm): source: sac, act_name: move_tangentially
Step 101 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 102 (dist=14.0mm): source: sac, act_name: move_tangentially
Step 103 (dist=15.0mm): source: sac, act_name: move_tangentially
Step 104 (dist=16.0mm): source: sac, act_name: move_tangentially
Step 105 (dist=14.0mm): source: sac, act_name: move_tangentially
