Result: success
Goal: [11.509862235961265, 11.221478255662973, -28.263158798217773, 0.0, 0.0, 0.0]
Steps: 40
Start: [-26.069714144796773, -7.650533245178218, -20.705317381784134, -22.792894307037045, 45.15596337698821, -16.591155144871436]
End: [10.427158153061402, 10.022458471668697, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 42.7mm
End distance: 1.6mm

Step 001 (dist=42.7mm): source: q_store, act_name: move_tangentially
Step 002 (dist=41.4mm): source: q_store, act_name: move_tangentially
Step 003 (dist=40.2mm): source: sac, act_name: move_tangentially
Step 004 (dist=37.9mm): source: sac, act_name: move_tangentially
Step 005 (dist=36.8mm): source: q_store, act_name: move_tangentially
Step 006 (dist=35.8mm): source: sac, act_name: move_tangentially
Step 007 (dist=36.7mm): source: q_store, act_name: move_tangentially
Step 008 (dist=35.7mm): source: sac, act_name: move_tangentially
Step 009 (dist=38.0mm): source: q_store, act_name: move_tangentially
Step 010 (dist=37.0mm): source: sac, act_name: move_tangentially
Step 011 (dist=39.4mm): source: sac, act_name: move_tangentially
Step 012 (dist=37.0mm): source: sac, act_name: move_tangentially
Step 013 (dist=37.8mm): source: q_store, act_name: move_tangentially
Step 014 (dist=36.9mm): source: sac, act_name: move_tangentially
Step 015 (dist=34.6mm): source: sac, act_name: move_tangentially
Step 016 (dist=36.8mm): source: sac, act_name: move_tangentially
Step 017 (dist=37.6mm): source: q_store, act_name: move_tangentially
Step 018 (dist=36.7mm): source: q_store, act_name: move_tangentially
Step 019 (dist=37.5mm): source: q_store, act_name: move_tangentially
Step 020 (dist=36.6mm): source: q_store, act_name: move_tangentially
Step 021 (dist=37.4mm): source: q_store, act_name: move_tangentially
Step 022 (dist=36.4mm): source: q_store, act_name: move_tangentially
Step 023 (dist=34.1mm): source: q_store, act_name: move_tangentially
Step 024 (dist=31.7mm): source: sac, act_name: move_tangentially
Step 025 (dist=33.9mm): source: sac, act_name: move_tangentially
Step 026 (dist=31.6mm): source: q_store, act_name: move_tangentially
Step 027 (dist=32.6mm): source: q_store, act_name: move_tangentially
Step 028 (dist=29.9mm): source: q_store, act_name: move_tangentially
Step 029 (dist=27.2mm): source: q_store, act_name: move_tangentially
Step 030 (dist=24.5mm): source: q_store, act_name: move_tangentially
Step 031 (dist=22.0mm): source: q_store, act_name: move_tangentially
Step 032 (dist=19.6mm): source: q_store, act_name: move_tangentially
Step 033 (dist=16.6mm): source: q_store, act_name: move_tangentially
Step 034 (dist=14.3mm): source: q_store, act_name: move_tangentially
Step 035 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 036 (dist=11.0mm): source: q_store, act_name: move_tangentially
Step 037 (dist=8.3mm): source: q_store, act_name: move_tangentially
Step 038 (dist=5.9mm): source: q_store, act_name: move_tangentially
Step 039 (dist=4.3mm): source: q_store, act_name: move_tangentially
Step 040 (dist=1.6mm): source: q_store, act_name: move_tangentially
