Result: timeout
Goal: [-15.471380173762329, -20.42520851209839, -29.54818483218696, -153.9456386634831, 28.832346174415413, 98.83037039910437]
Steps: 500
Start: [27.35565360028247, -2.6403820546011394, -20.355117525567778, 14.574132287847647, 47.799495195125274, -169.09796412002618]
End: [-3.8583298641068016, -11.89254331898542, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 47.3mm
End distance: 14.5mm

Step 001 (dist=47.3mm): source: sac, act_name: move_tangentially
Step 002 (dist=48.2mm): source: sac, act_name: move_tangentially
Step 003 (dist=50.3mm): source: sac, act_name: move_tangentially
Step 004 (dist=49.6mm): source: sac, act_name: move_tangentially
Step 005 (dist=48.5mm): source: sac, act_name: move_tangentially
Step 006 (dist=47.5mm): source: sac, act_name: move_tangentially
Step 007 (dist=46.7mm): source: sac, act_name: move_tangentially
Step 008 (dist=45.4mm): source: sac, act_name: move_tangentially
Step 009 (dist=47.6mm): source: q_store, act_name: move_tangentially
Step 010 (dist=46.5mm): source: sac, act_name: move_tangentially
Step 011 (dist=45.6mm): source: sac, act_name: move_tangentially
Step 012 (dist=46.6mm): source: sac, act_name: move_tangentially
Step 013 (dist=44.2mm): source: sac, act_name: move_tangentially
Step 014 (dist=45.4mm): source: sac, act_name: move_tangentially
Step 015 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 016 (dist=45.6mm): source: sac, act_name: move_tangentially
Step 017 (dist=47.6mm): source: sac, act_name: move_tangentially
Step 018 (dist=48.6mm): source: sac, act_name: move_tangentially
Step 019 (dist=50.3mm): source: sac, act_name: move_tangentially
Step 020 (dist=50.0mm): source: sac, act_name: move_tangentially
Step 021 (dist=51.3mm): source: sac, act_name: move_tangentially
Step 022 (dist=51.8mm): source: sac, act_name: move_tangentially
Step 023 (dist=50.7mm): source: sac, act_name: move_tangentially
Step 024 (dist=52.2mm): source: sac, act_name: move_tangentially
Step 025 (dist=53.1mm): source: sac, act_name: move_tangentially
Step 026 (dist=54.2mm): source: sac, act_name: move_tangentially
Step 027 (dist=53.0mm): source: sac, act_name: move_tangentially
Step 028 (dist=54.0mm): source: sac, act_name: move_tangentially
Step 029 (dist=55.1mm): source: sac, act_name: move_tangentially
Step 030 (dist=55.0mm): source: sac, act_name: move_tangentially
Step 031 (dist=54.0mm): source: sac, act_name: move_tangentially
