Result: success
Goal: [6.244960358330266, -14.083655032386432, 30.80528972394054, 110.57255611669306, -8.743000856083958, -157.95277206374692]
Steps: 449
Start: [17.78088571975059, 26.441014147532677, 3.359335749501799, -69.0704191419612, 13.527553275201797, -31.45036380801423]
End: [7.352353604337767, -12.934389520367676, 29.18618493136461, 5.174592288539998, -4.928466792822405, -0.44576289551901027]
Start distance: 50.3mm
End distance: 2.3mm

Step 001 (dist=50.3mm): source: sac, act_name: detach
Step 002 (dist=47.1mm): source: sac, act_name: free_forward
Step 003 (dist=41.1mm): source: sac, act_name: look_down_big
Step 004 (dist=41.1mm): source: sac, act_name: free_forward
Step 005 (dist=35.5mm): source: q_store, act_name: free_forward
Step 006 (dist=31.1mm): source: q_store, act_name: free_forward
Step 007 (dist=28.3mm): source: q_store, act_name: turn_left_big
Step 008 (dist=28.3mm): source: q_store, act_name: turn_left_big
Step 009 (dist=28.3mm): source: q_store, act_name: move_tangentially
Step 010 (dist=27.0mm): source: q_store, act_name: move_tangentially
Step 011 (dist=26.0mm): source: q_store, act_name: move_tangentially
Step 012 (dist=25.4mm): source: q_store, act_name: move_tangentially
Step 013 (dist=25.0mm): source: q_store, act_name: move_tangentially
Step 014 (dist=25.0mm): source: q_store, act_name: move_tangentially
Step 015 (dist=25.4mm): source: q_store, act_name: move_tangentially
Step 016 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 017 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 018 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 019 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 020 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 021 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 022 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 023 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 024 (dist=26.1mm): source: q_store, act_name: look_down_big
Step 025 (dist=26.1mm): source: sac, act_name: move_tangentially
Step 026 (dist=26.1mm): source: sac, act_name: move_tangentially
Step 027 (dist=26.1mm): source: sac, act_name: free_forward
Step 028 (dist=21.6mm): source: sac, act_name: free_backward
Step 029 (dist=22.6mm): source: sac, act_name: free_forward
Step 030 (dist=19.7mm): source: sac, act_name: free_forward
Step 031 (dist=19.9mm): source: sac, act_name: free_backward
Step 032 (dist=19.5mm): source: sac, act_name: free_backward
Step 033 (dist=19.4mm): source: sac, act_name: free_forward_small
Step 034 (dist=19.5mm): source: sac, act_name: free_backward
Step 035 (dist=19.4mm): source: sac, act_name: free_backward
Step 036 (dist=19.4mm): source: sac, act_name: free_backward
Step 037 (dist=19.7mm): source: sac, act_name: free_backward
Step 038 (dist=20.2mm): source: sac, act_name: free_backward
Step 039 (dist=20.8mm): source: sac, act_name: free_backward
Step 040 (dist=21.6mm): source: sac, act_name: free_backward
Step 041 (dist=22.6mm): source: sac, act_name: free_forward
Step 042 (dist=19.7mm): source: sac, act_name: free_backward
Step 043 (dist=20.2mm): source: sac, act_name: free_backward
Step 044 (dist=20.8mm): source: sac, act_name: free_backward
Step 045 (dist=21.6mm): source: sac, act_name: free_backward
Step 046 (dist=22.6mm): source: sac, act_name: free_backward
Step 047 (dist=23.6mm): source: sac, act_name: free_backward
Step 048 (dist=24.8mm): source: sac, act_name: free_backward
Step 049 (dist=26.1mm): source: sac, act_name: free_forward
Step 050 (dist=21.6mm): source: sac, act_name: free_backward
Step 051 (dist=22.6mm): source: sac, act_name: move_tangentially
Step 052 (dist=22.6mm): source: sac, act_name: free_backward
Step 053 (dist=23.6mm): source: sac, act_name: free_backward
Step 054 (dist=24.8mm): source: sac, act_name: free_backward
Step 055 (dist=26.1mm): source: sac, act_name: free_backward
Step 056 (dist=27.5mm): source: sac, act_name: free_backward
Step 057 (dist=29.0mm): source: q_store, act_name: free_forward
Step 058 (dist=23.6mm): source: sac, act_name: turn_right_big
Step 059 (dist=23.6mm): source: sac, act_name: free_forward_small
Step 060 (dist=22.8mm): source: sac, act_name: free_backward
Step 061 (dist=23.6mm): source: sac, act_name: free_backward
Step 062 (dist=24.6mm): source: sac, act_name: turn_left_big
Step 063 (dist=24.6mm): source: sac, act_name: free_backward
Step 064 (dist=25.9mm): source: sac, act_name: free_backward
Step 065 (dist=27.3mm): source: sac, act_name: free_backward
Step 066 (dist=28.8mm): source: q_store, act_name: free_forward
Step 067 (dist=23.4mm): source: sac, act_name: free_backward
Step 068 (dist=24.6mm): source: sac, act_name: free_backward
Step 069 (dist=25.9mm): source: sac, act_name: free_backward
Step 070 (dist=27.3mm): source: sac, act_name: free_backward
Step 071 (dist=28.8mm): source: q_store, act_name: free_forward
Step 072 (dist=23.4mm): source: sac, act_name: free_backward
Step 073 (dist=24.6mm): source: sac, act_name: free_backward
Step 074 (dist=25.9mm): source: sac, act_name: free_backward
Step 075 (dist=27.3mm): source: sac, act_name: free_forward
Step 076 (dist=22.3mm): source: sac, act_name: free_forward_small
Step 077 (dist=21.3mm): source: sac, act_name: free_backward
Step 078 (dist=22.3mm): source: sac, act_name: free_backward
Step 079 (dist=23.4mm): source: sac, act_name: free_backward
Step 080 (dist=24.6mm): source: sac, act_name: free_backward
Step 081 (dist=25.9mm): source: sac, act_name: free_backward
Step 082 (dist=27.3mm): source: q_store, act_name: free_forward
Step 083 (dist=22.3mm): source: sac, act_name: free_forward
Step 084 (dist=19.4mm): source: sac, act_name: free_backward
Step 085 (dist=19.9mm): source: sac, act_name: free_backward
Step 086 (dist=20.5mm): source: sac, act_name: free_backward
Step 087 (dist=21.3mm): source: sac, act_name: free_backward
Step 088 (dist=22.3mm): source: sac, act_name: free_backward
Step 089 (dist=23.4mm): source: sac, act_name: free_backward
Step 090 (dist=24.6mm): source: sac, act_name: free_backward
Step 091 (dist=25.9mm): source: sac, act_name: free_forward
Step 092 (dist=21.3mm): source: sac, act_name: free_backward
Step 093 (dist=22.3mm): source: sac, act_name: free_backward
Step 094 (dist=23.4mm): source: sac, act_name: free_backward
Step 095 (dist=24.6mm): source: sac, act_name: free_forward
Step 096 (dist=20.5mm): source: sac, act_name: free_backward
Step 097 (dist=21.3mm): source: sac, act_name: free_backward
Step 098 (dist=22.3mm): source: sac, act_name: free_backward
Step 099 (dist=23.4mm): source: sac, act_name: turn_left_big
Step 100 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 101 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 102 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 103 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 104 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 105 (dist=23.4mm): source: sac, act_name: free_forward
Step 106 (dist=19.1mm): source: sac, act_name: free_forward
Step 107 (dist=17.7mm): source: sac, act_name: free_forward
Step 108 (dist=19.7mm): source: sac, act_name: free_backward
Step 109 (dist=18.9mm): source: sac, act_name: move_tangentially
Step 110 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 111 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 112 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 113 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 114 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 115 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 116 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 117 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 118 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 119 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 120 (dist=23.7mm): source: sac, act_name: move_tangentially
Step 121 (dist=26.8mm): source: sac, act_name: move_tangentially
Step 122 (dist=26.8mm): source: sac, act_name: move_tangentially
Step 123 (dist=26.9mm): source: sac, act_name: move_tangentially
Step 124 (dist=28.1mm): source: sac, act_name: move_tangentially
Step 125 (dist=26.6mm): source: sac, act_name: move_tangentially
Step 126 (dist=27.8mm): source: sac, act_name: move_tangentially
Step 127 (dist=29.5mm): source: sac, act_name: move_tangentially
Step 128 (dist=31.5mm): source: sac, act_name: move_tangentially
Step 129 (dist=30.5mm): source: sac, act_name: move_tangentially
Step 130 (dist=31.9mm): source: sac, act_name: move_tangentially
Step 131 (dist=32.0mm): source: sac, act_name: move_tangentially
Step 132 (dist=32.0mm): source: sac, act_name: move_tangentially
Step 133 (dist=31.3mm): source: sac, act_name: move_tangentially
Step 134 (dist=33.6mm): source: sac, act_name: move_tangentially
Step 135 (dist=32.1mm): source: sac, act_name: move_tangentially
Step 136 (dist=31.7mm): source: sac, act_name: move_tangentially
Step 137 (dist=31.2mm): source: sac, act_name: move_tangentially
Step 138 (dist=31.6mm): source: sac, act_name: move_tangentially
Step 139 (dist=33.1mm): source: sac, act_name: move_tangentially
Step 140 (dist=31.1mm): source: sac, act_name: move_tangentially
Step 141 (dist=31.6mm): source: sac, act_name: move_tangentially
Step 142 (dist=32.3mm): source: sac, act_name: move_tangentially
Step 143 (dist=34.0mm): source: sac, act_name: move_tangentially
Step 144 (dist=33.9mm): source: sac, act_name: move_tangentially
Step 145 (dist=33.0mm): source: sac, act_name: move_tangentially
Step 146 (dist=33.0mm): source: sac, act_name: detach
Step 147 (dist=26.6mm): source: q_store, act_name: free_forward
Step 148 (dist=22.0mm): source: q_store, act_name: look_down_big
Step 149 (dist=22.0mm): source: q_store, act_name: free_forward_small
Step 150 (dist=20.7mm): source: q_store, act_name: free_forward_small
Step 151 (dist=19.5mm): source: q_store, act_name: free_forward_small
Step 152 (dist=18.5mm): source: q_store, act_name: free_forward_small
Step 153 (dist=17.6mm): source: q_store, act_name: look_down_big
Step 154 (dist=17.6mm): source: q_store, act_name: look_down_big
Step 155 (dist=17.6mm): source: q_store, act_name: look_down_big
Step 156 (dist=17.6mm): source: q_store, act_name: free_forward
Step 157 (dist=10.7mm): source: q_store, act_name: turn_left_big
Step 158 (dist=10.7mm): source: q_store, act_name: free_forward_small
Step 159 (dist=9.3mm): source: q_store, act_name: free_forward_small
Step 160 (dist=8.2mm): source: q_store, act_name: free_forward_small
Step 161 (dist=7.5mm): source: q_store, act_name: free_forward_small
Step 162 (dist=7.3mm): source: q_store, act_name: free_forward_small
Step 163 (dist=7.6mm): source: q_store, act_name: free_forward_small
Step 164 (dist=8.3mm): source: q_store, act_name: free_forward_small
Step 165 (dist=9.5mm): source: q_store, act_name: look_down_big
Step 166 (dist=9.5mm): source: q_store, act_name: look_down_big
Step 167 (dist=9.5mm): source: sac, act_name: move_tangentially
Step 168 (dist=6.3mm): source: sac, act_name: move_tangentially
Step 169 (dist=6.1mm): source: q_store, act_name: detach_edge
Step 170 (dist=17.8mm): source: sac, act_name: move_tangentially
Step 171 (dist=7.8mm): source: sac, act_name: move_tangentially
Step 172 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 173 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 174 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 175 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 176 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 177 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 178 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 179 (dist=6.2mm): source: sac, act_name: move_tangentially
Step 180 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 181 (dist=6.4mm): source: sac, act_name: move_tangentially
Step 182 (dist=6.7mm): source: sac, act_name: move_tangentially
Step 183 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 184 (dist=6.7mm): source: sac, act_name: move_tangentially
Step 185 (dist=6.4mm): source: sac, act_name: move_tangentially
Step 186 (dist=6.7mm): source: sac, act_name: move_tangentially
Step 187 (dist=7.1mm): source: sac, act_name: move_tangentially
Step 188 (dist=6.2mm): source: sac, act_name: move_tangentially
Step 189 (dist=6.7mm): source: sac, act_name: move_tangentially
Step 190 (dist=7.3mm): source: sac, act_name: move_tangentially
Step 191 (dist=8.8mm): source: sac, act_name: move_tangentially
Step 192 (dist=11.0mm): source: sac, act_name: move_tangentially
Step 193 (dist=12.6mm): source: sac, act_name: move_tangentially
Step 194 (dist=12.7mm): source: sac, act_name: move_tangentially
Step 195 (dist=14.3mm): source: sac, act_name: move_tangentially
Step 196 (dist=14.3mm): source: sac, act_name: move_tangentially
Step 197 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 198 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 199 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 200 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 201 (dist=14.7mm): source: sac, act_name: move_tangentially
Step 202 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 203 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 204 (dist=13.9mm): source: sac, act_name: move_tangentially
Step 205 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 206 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 207 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 208 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 209 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 210 (dist=12.8mm): source: sac, act_name: move_tangentially
Step 211 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 212 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 213 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 214 (dist=15.7mm): source: sac, act_name: move_tangentially
Step 215 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 216 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 217 (dist=13.6mm): source: sac, act_name: move_tangentially
Step 218 (dist=11.3mm): source: sac, act_name: move_tangentially
Step 219 (dist=13.1mm): source: sac, act_name: move_tangentially
Step 220 (dist=13.1mm): source: sac, act_name: move_tangentially
Step 221 (dist=15.2mm): source: sac, act_name: move_tangentially
Step 222 (dist=15.2mm): source: sac, act_name: move_tangentially
Step 223 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 224 (dist=12.5mm): source: sac, act_name: move_tangentially
Step 225 (dist=14.2mm): source: sac, act_name: move_tangentially
Step 226 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 227 (dist=11.2mm): source: sac, act_name: move_tangentially
Step 228 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 229 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 230 (dist=9.3mm): source: sac, act_name: move_tangentially
Step 231 (dist=10.4mm): source: sac, act_name: move_tangentially
Step 232 (dist=8.9mm): source: sac, act_name: move_tangentially
Step 233 (dist=10.9mm): source: sac, act_name: move_tangentially
Step 234 (dist=10.9mm): source: sac, act_name: move_tangentially
Step 235 (dist=8.8mm): source: sac, act_name: move_tangentially
Step 236 (dist=9.8mm): source: sac, act_name: move_tangentially
Step 237 (dist=12.2mm): source: sac, act_name: move_tangentially
Step 238 (dist=12.2mm): source: sac, act_name: move_tangentially
Step 239 (dist=14.2mm): source: sac, act_name: move_tangentially
Step 240 (dist=17.0mm): source: sac, act_name: move_tangentially
Step 241 (dist=14.2mm): source: sac, act_name: move_tangentially
Step 242 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 243 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 244 (dist=11.7mm): source: sac, act_name: move_tangentially
Step 245 (dist=14.0mm): source: sac, act_name: move_tangentially
Step 246 (dist=12.3mm): source: sac, act_name: move_tangentially
Step 247 (dist=9.9mm): source: sac, act_name: move_tangentially
Step 248 (dist=11.6mm): source: sac, act_name: move_tangentially
Step 249 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 250 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 251 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 252 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 253 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 254 (dist=17.3mm): source: sac, act_name: move_tangentially
Step 255 (dist=15.4mm): source: sac, act_name: move_tangentially
