Result: success
Goal: [-4.560935604273717, 13.938064103411502, -37.0, 180.0, 0.0, 180.0]
Steps: 37
Start: [-21.3788778836166, -1.2806674877226085, 31.476764886541385, 20.7145004084866, -68.2033299497586, -19.347310577810276]
End: [-4.153012793808997, 12.348293527380104, -37.623672029477795, 69.11472792805932, 4.867345496397206, -167.46316589611703]
Start distance: 72.1mm
End distance: 1.8mm

Step 001 (dist=72.1mm): source: sac, act_name: detach
Step 002 (dist=68.6mm): source: q_store, act_name: free_forward
Step 003 (dist=62.2mm): source: q_store, act_name: free_forward
Step 004 (dist=56.3mm): source: q_store, act_name: free_forward
Step 005 (dist=51.0mm): source: q_store, act_name: free_forward
Step 006 (dist=46.4mm): source: q_store, act_name: free_forward
Step 007 (dist=42.9mm): source: q_store, act_name: free_forward
Step 008 (dist=40.6mm): source: q_store, act_name: free_forward
Step 009 (dist=39.8mm): source: q_store, act_name: turn_left_big
Step 010 (dist=39.8mm): source: q_store, act_name: turn_left_big
Step 011 (dist=39.8mm): source: q_store, act_name: turn_left_big
Step 012 (dist=39.8mm): source: q_store, act_name: free_forward
Step 013 (dist=34.8mm): source: q_store, act_name: free_forward
Step 014 (dist=31.2mm): source: q_store, act_name: free_forward
Step 015 (dist=29.3mm): source: q_store, act_name: free_forward
Step 016 (dist=29.5mm): source: q_store, act_name: turn_left_big
Step 017 (dist=29.5mm): source: q_store, act_name: turn_left_big
Step 018 (dist=29.5mm): source: q_store, act_name: turn_left_big
Step 019 (dist=29.5mm): source: q_store, act_name: turn_left_big
Step 020 (dist=29.5mm): source: q_store, act_name: free_forward
Step 021 (dist=24.7mm): source: q_store, act_name: turn_left_big
Step 022 (dist=24.7mm): source: q_store, act_name: free_forward
Step 023 (dist=20.5mm): source: q_store, act_name: turn_left_big
Step 024 (dist=20.5mm): source: q_store, act_name: free_forward
Step 025 (dist=17.8mm): source: q_store, act_name: free_forward
Step 026 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 027 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 028 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 029 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 030 (dist=18.5mm): source: q_store, act_name: look_down_big
Step 031 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 032 (dist=18.5mm): source: q_store, act_name: turn_left_big
Step 033 (dist=18.5mm): source: q_store, act_name: free_forward
Step 034 (dist=20.1mm): source: q_store, act_name: detach
Step 035 (dist=14.2mm): source: q_store, act_name: free_forward
Step 036 (dist=6.2mm): source: q_store, act_name: free_forward
Step 037 (dist=1.8mm): source: q_store, act_name: look_up_big
