Result: success
Goal: [-27.242048043459214, 15.009117908226278, 5.3767243885621685, 66.82662421292959, 28.044250859521238, -132.31626193117455]
Steps: 24
Start: [-5.230854630698052, 21.446690733467857, -32.302451504203106, 144.02124604485095, -6.74450253524779, -175.1267376592882]
End: [-25.10075058147963, 18.11833677923424, 5.723193265367568, 43.61284296591634, -61.334278232261994, -83.91797428139063]
Start distance: 44.1mm
End distance: 3.8mm

Step 001 (dist=44.1mm): source: q_store, act_name: move_tangentially
Step 002 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 003 (dist=42.0mm): source: q_store, act_name: move_tangentially
Step 004 (dist=41.1mm): source: q_store, act_name: move_tangentially
Step 005 (dist=40.3mm): source: q_store, act_name: move_tangentially
Step 006 (dist=39.5mm): source: q_store, act_name: move_tangentially
Step 007 (dist=38.7mm): source: q_store, act_name: move_tangentially
Step 008 (dist=37.8mm): source: q_store, act_name: move_tangentially
Step 009 (dist=36.6mm): source: q_store, act_name: move_tangentially
Step 010 (dist=35.3mm): source: q_store, act_name: move_tangentially
Step 011 (dist=33.7mm): source: q_store, act_name: move_tangentially
Step 012 (dist=32.0mm): source: q_store, act_name: move_tangentially
Step 013 (dist=29.7mm): source: q_store, act_name: move_tangentially
Step 014 (dist=27.6mm): source: q_store, act_name: move_tangentially
Step 015 (dist=25.8mm): source: q_store, act_name: move_tangentially
Step 016 (dist=23.5mm): source: q_store, act_name: move_tangentially
Step 017 (dist=21.7mm): source: q_store, act_name: move_tangentially
Step 018 (dist=20.2mm): source: q_store, act_name: move_tangentially
Step 019 (dist=17.7mm): source: q_store, act_name: move_tangentially
Step 020 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 021 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 022 (dist=9.5mm): source: q_store, act_name: move_tangentially
Step 023 (dist=6.6mm): source: q_store, act_name: move_tangentially
Step 024 (dist=3.8mm): source: q_store, act_name: move_tangentially
