Result: timeout
Goal: [5.2769172608558685, 27.7823414247585, -3.9020351155439474, 110.34762172270342, 2.76544752652292, -7.412395643009103]
Steps: 500
Start: [23.270821212331548, -2.7289679750133184, -31.27481114558116, -171.73871055763965, 37.31996258254273, -174.96943177525307]
End: [17.852466658745627, 94.28062761829952, -43.02013054337861, -60.0, 0.0, 0.0]
Start distance: 44.8mm
End distance: 78.2mm

Step 001 (dist=44.8mm): source: q_store, act_name: move_tangentially
Step 002 (dist=42.9mm): source: q_store, act_name: move_tangentially
Step 003 (dist=44.8mm): source: q_store, act_name: move_tangentially
Step 004 (dist=42.9mm): source: q_store, act_name: move_tangentially
Step 005 (dist=44.8mm): source: q_store, act_name: move_tangentially
Step 006 (dist=42.9mm): source: q_store, act_name: move_tangentially
Step 007 (dist=44.8mm): source: q_store, act_name: move_tangentially
Step 008 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 009 (dist=44.9mm): source: q_store, act_name: move_tangentially
Step 010 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 011 (dist=44.9mm): source: q_store, act_name: move_tangentially
Step 012 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 013 (dist=44.9mm): source: q_store, act_name: move_tangentially
Step 014 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 015 (dist=44.9mm): source: q_store, act_name: move_tangentially
Step 016 (dist=43.0mm): source: q_store, act_name: move_tangentially
Step 017 (dist=44.9mm): source: q_store, act_name: move_tangentially
Step 018 (dist=43.1mm): source: q_store, act_name: move_tangentially
Step 019 (dist=45.0mm): source: q_store, act_name: move_tangentially
Step 020 (dist=43.1mm): source: q_store, act_name: move_tangentially
Step 021 (dist=45.0mm): source: q_store, act_name: move_tangentially
Step 022 (dist=43.1mm): source: q_store, act_name: move_tangentially
Step 023 (dist=45.0mm): source: q_store, act_name: move_tangentially
Step 024 (dist=43.2mm): source: q_store, act_name: move_tangentially
Step 025 (dist=45.0mm): source: q_store, act_name: move_tangentially
Step 026 (dist=43.2mm): source: q_store, act_name: move_tangentially
Step 027 (dist=45.1mm): source: q_store, act_name: move_tangentially
Step 028 (dist=43.2mm): source: q_store, act_name: move_tangentially
Step 029 (dist=45.1mm): source: q_store, act_name: move_tangentially
Step 030 (dist=43.3mm): source: q_store, act_name: detach
Step 031 (dist=42.1mm): source: q_store, act_name: free_forward
Step 032 (dist=35.7mm): source: q_store, act_name: free_forward
Step 033 (dist=30.0mm): source: q_store, act_name: free_forward
Step 034 (dist=25.7mm): source: q_store, act_name: turn_left_big
Step 035 (dist=25.7mm): source: q_store, act_name: turn_left_big
Step 036 (dist=25.7mm): source: q_store, act_name: turn_left_big
Step 037 (dist=25.7mm): source: q_store, act_name: turn_left_big
Step 038 (dist=25.7mm): source: q_store, act_name: look_down_big
Step 039 (dist=25.7mm): source: q_store, act_name: look_down_big
Step 040 (dist=25.7mm): source: q_store, act_name: look_down_big
Step 041 (dist=25.7mm): source: q_store, act_name: look_down_big
Step 042 (dist=25.7mm): source: q_store, act_name: look_down_big
Step 043 (dist=25.7mm): source: q_store, act_name: turn_left_big
Step 044 (dist=25.7mm): source: q_store, act_name: free_forward
Step 045 (dist=21.0mm): source: q_store, act_name: look_down_big
Step 046 (dist=21.0mm): source: sac, act_name: move_tangentially
Step 047 (dist=20.1mm): source: q_store, act_name: move_tangentially
Step 048 (dist=20.6mm): source: q_store, act_name: move_tangentially
Step 049 (dist=21.1mm): source: q_store, act_name: move_tangentially
Step 050 (dist=19.3mm): source: q_store, act_name: move_tangentially
Step 051 (dist=17.6mm): source: q_store, act_name: move_tangentially
Step 052 (dist=19.3mm): source: q_store, act_name: move_tangentially
Step 053 (dist=17.8mm): source: q_store, act_name: move_tangentially
Step 054 (dist=19.3mm): source: q_store, act_name: move_tangentially
Step 055 (dist=21.1mm): source: q_store, act_name: move_tangentially
Step 056 (dist=19.8mm): source: q_store, act_name: move_tangentially
Step 057 (dist=19.9mm): source: q_store, act_name: move_tangentially
Step 058 (dist=20.2mm): source: q_store, act_name: move_tangentially
Step 059 (dist=20.7mm): source: q_store, act_name: move_tangentially
Step 060 (dist=21.3mm): source: q_store, act_name: move_tangentially
Step 061 (dist=19.4mm): source: q_store, act_name: move_tangentially
Step 062 (dist=17.4mm): source: q_store, act_name: move_tangentially
Step 063 (dist=18.5mm): source: q_store, act_name: move_tangentially
Step 064 (dist=16.4mm): source: q_store, act_name: move_tangentially
Step 065 (dist=17.0mm): source: q_store, act_name: move_tangentially
Step 066 (dist=15.2mm): source: q_store, act_name: move_tangentially
Step 067 (dist=13.6mm): source: q_store, act_name: move_tangentially
Step 068 (dist=15.5mm): source: q_store, act_name: move_tangentially
Step 069 (dist=17.4mm): source: q_store, act_name: move_tangentially
Step 070 (dist=19.1mm): source: q_store, act_name: move_tangentially
Step 071 (dist=20.9mm): source: q_store, act_name: move_tangentially
Step 072 (dist=19.6mm): source: q_store, act_name: move_tangentially
Step 073 (dist=21.5mm): source: q_store, act_name: move_tangentially
Step 074 (dist=23.4mm): source: q_store, act_name: move_tangentially
Step 075 (dist=22.2mm): source: q_store, act_name: move_tangentially
Step 076 (dist=21.2mm): source: q_store, act_name: move_tangentially
Step 077 (dist=21.2mm): source: q_store, act_name: move_tangentially
Step 078 (dist=20.2mm): source: q_store, act_name: move_tangentially
Step 079 (dist=19.9mm): source: q_store, act_name: move_tangentially
Step 080 (dist=19.8mm): source: q_store, act_name: move_tangentially
Step 081 (dist=21.7mm): source: q_store, act_name: move_tangentially
Step 082 (dist=20.4mm): source: q_store, act_name: move_tangentially
Step 083 (dist=19.3mm): source: q_store, act_name: move_tangentially
Step 084 (dist=18.3mm): source: q_store, act_name: move_tangentially
Step 085 (dist=17.6mm): source: q_store, act_name: move_tangentially
Step 086 (dist=19.3mm): source: q_store, act_name: move_tangentially
Step 087 (dist=18.7mm): source: q_store, act_name: move_tangentially
Step 088 (dist=17.0mm): source: q_store, act_name: move_tangentially
Step 089 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 090 (dist=13.6mm): source: q_store, act_name: move_tangentially
Step 091 (dist=11.7mm): source: q_store, act_name: move_tangentially
Step 092 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 093 (dist=7.6mm): source: q_store, act_name: move_tangentially
Step 094 (dist=8.0mm): source: q_store, act_name: move_tangentially
Step 095 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 096 (dist=8.2mm): source: q_store, act_name: move_tangentially
Step 097 (dist=9.4mm): source: q_store, act_name: move_tangentially
Step 098 (dist=11.6mm): source: q_store, act_name: move_tangentially
Step 099 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 100 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 101 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 102 (dist=13.8mm): source: q_store, act_name: move_tangentially
Step 103 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 104 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 105 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 106 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 107 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 108 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 109 (dist=13.9mm): source: q_store, act_name: move_tangentially
Step 110 (dist=15.9mm): source: q_store, act_name: move_tangentially
Step 111 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 112 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 113 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 114 (dist=14.5mm): source: q_store, act_name: move_tangentially
Step 115 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 116 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 117 (dist=12.1mm): source: q_store, act_name: move_tangentially
Step 118 (dist=14.0mm): source: q_store, act_name: move_tangentially
Step 119 (dist=13.4mm): source: q_store, act_name: move_tangentially
Step 120 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 121 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 122 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 123 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 124 (dist=14.9mm): source: q_store, act_name: move_tangentially
