Result: success
Goal: [-11.847383969115239, -34.28295147550795, -8.746070670511934, 75.17028874863384, -5.039691044153151, -18.355140479174803]
Steps: 18
Start: [-14.193888618368689, 22.178062799691368, 18.236021314800585, 69.27812311548928, 11.017808591898756, -153.19776413930416]
End: [-11.551665644985363, -34.8886738796034, -10.484657935250741, 103.99300177459827, -32.86511497992802, -121.909904564236]
Start distance: 62.6mm
End distance: 1.9mm

Step 001 (dist=62.6mm): source: q_store, act_name: move_tangentially
Step 002 (dist=62.8mm): source: q_store, act_name: move_tangentially
Step 003 (dist=63.1mm): source: q_store, act_name: move_tangentially
Step 004 (dist=63.4mm): source: q_store, act_name: detach
Step 005 (dist=62.8mm): source: q_store, act_name: free_forward
Step 006 (dist=55.8mm): source: q_store, act_name: free_forward
Step 007 (dist=49.2mm): source: q_store, act_name: free_forward
Step 008 (dist=43.0mm): source: q_store, act_name: free_forward
Step 009 (dist=37.4mm): source: q_store, act_name: free_forward
Step 010 (dist=33.0mm): source: q_store, act_name: free_forward
Step 011 (dist=30.0mm): source: q_store, act_name: detach
Step 012 (dist=14.1mm): source: q_store, act_name: free_forward
Step 013 (dist=6.1mm): source: q_store, act_name: turn_left_big
Step 014 (dist=6.1mm): source: q_store, act_name: turn_left_big
Step 015 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 016 (dist=8.1mm): source: q_store, act_name: look_down_big
Step 017 (dist=8.1mm): source: q_store, act_name: free_forward
Step 018 (dist=1.9mm): source: q_store, act_name: move_tangentially
