1500 - Result: collision
Goal: [8.359759715026023, -19.821399698649202, -26.116954669293722, 38.90587569455028, 12.70710435771207, -169.9332546260096]
Steps: 157
Start: [36.20094417483834, 4.313033151358094, -9.397652247542087, -62.33129000081483, 56.69792574877914, -57.89868192877634]
End: [34.94957263716325, 2.511811444797555, -16.55808474778634, -71.98790032357867, -11.144448127927149, -11.684000214554658]
Start distance: 40.5mm
End distance: 36.0mm

Step 001 (dist=40.5mm): source: q_store, act_name: detach
Step 002 (dist=40.0mm): source: q_store, act_name: free_forward
Step 003 (dist=33.2mm): source: q_store, act_name: free_forward
Step 004 (dist=26.9mm): source: q_store, act_name: free_forward
Step 005 (dist=21.9mm): source: q_store, act_name: free_forward
Step 006 (dist=19.0mm): source: q_store, act_name: move_tangentially
Step 007 (dist=16.1mm): source: q_store, act_name: move_tangentially
Step 008 (dist=13.3mm): source: q_store, act_name: free_forward
Step 009 (dist=13.6mm): source: q_store, act_name: move_tangentially
Step 010 (dist=11.0mm): source: q_store, act_name: move_tangentially
Step 011 (dist=8.7mm): source: q_store, act_name: move_tangentially
Step 012 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 013 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 014 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 015 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 016 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 017 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 018 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 019 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 020 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 021 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 022 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 023 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 024 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 025 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 026 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 027 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 028 (dist=6.8mm): source: q_store, act_name: look_up
Step 029 (dist=6.8mm): source: q_store, act_name: look_up
Step 030 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 031 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 032 (dist=6.8mm): source: q_store, act_name: look_down_big
Step 033 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 034 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 035 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 036 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 037 (dist=6.8mm): source: q_store, act_name: look_up
Step 038 (dist=6.8mm): source: q_store, act_name: look_up
Step 039 (dist=6.8mm): source: q_store, act_name: turn_left_big
Step 040 (dist=6.8mm): source: q_store, act_name: turn_right_big
Step 041 (dist=6.8mm): source: q_store, act_name: look_up_big
Step 042 (dist=6.8mm): source: q_store, act_name: look_up_big
