Result: success
Goal: [-6.575023823898089, -26.26028084061476, 16.208247709621265, 69.60667055375585, -4.66180843487475, -12.331844273139371]
Steps: 30
Start: [30.207091005339116, 11.01647103708743, 2.4873282242506978, -62.699463197518185, 40.77928092369845, -51.682387660830415]
End: [-7.5691570306351394, -27.319470639390712, 12.781895218809606, 69.60667055375586, -4.661808434874757, -12.331844273139382]
Start distance: 54.1mm
End distance: 3.7mm

Step 001 (dist=54.1mm): source: q_store, act_name: detach
Step 002 (dist=52.7mm): source: q_store, act_name: free_forward
Step 003 (dist=46.2mm): source: q_store, act_name: free_forward
Step 004 (dist=40.2mm): source: q_store, act_name: free_forward
Step 005 (dist=35.1mm): source: q_store, act_name: free_forward
Step 006 (dist=31.1mm): source: q_store, act_name: free_forward
Step 007 (dist=28.9mm): source: q_store, act_name: turn_left_big
Step 008 (dist=28.9mm): source: q_store, act_name: look_up_big
Step 009 (dist=28.9mm): source: q_store, act_name: free_forward
Step 010 (dist=28.2mm): source: q_store, act_name: look_up_big
Step 011 (dist=28.2mm): source: q_store, act_name: free_forward
Step 012 (dist=28.2mm): source: q_store, act_name: look_up_big
Step 013 (dist=28.2mm): source: q_store, act_name: free_forward
Step 014 (dist=29.1mm): source: q_store, act_name: turn_left_big
Step 015 (dist=29.1mm): source: q_store, act_name: look_up_big
Step 016 (dist=29.1mm): source: q_store, act_name: look_up_big
Step 017 (dist=29.1mm): source: q_store, act_name: look_up_big
Step 018 (dist=29.1mm): source: q_store, act_name: free_forward
Step 019 (dist=26.5mm): source: q_store, act_name: look_up_big
Step 020 (dist=26.5mm): source: q_store, act_name: free_forward
Step 021 (dist=24.6mm): source: q_store, act_name: free_forward
Step 022 (dist=25.1mm): source: q_store, act_name: look_up_big
Step 023 (dist=25.1mm): source: q_store, act_name: look_up_big
Step 024 (dist=25.1mm): source: q_store, act_name: look_up_big
Step 025 (dist=25.1mm): source: q_store, act_name: move_tangentially
Step 026 (dist=12.2mm): source: q_store, act_name: move_tangentially
Step 027 (dist=11.3mm): source: q_store, act_name: move_tangentially
Step 028 (dist=8.8mm): source: q_store, act_name: move_tangentially
Step 029 (dist=5.8mm): source: q_store, act_name: move_tangentially
Step 030 (dist=3.7mm): source: q_store, act_name: move_tangentially
