1700 - Result: success
Goal: [13.525667303916979, 12.064724637948991, 23.454452826117098, 111.63458684079065, 19.606050138118302, -40.23164713685444]
Steps: 72
Start: [11.832332009873824, -32.77466288340551, -4.782083865286742, -69.53372065024257, -6.640795201959776, -162.78383780083013]
End: [13.367545513632695, 10.977115793901664, 25.74288062203432, 111.63458764362514, 19.606041811484317, -40.23163445523434]
Start distance: 53.0mm
End distance: 2.5mm

Step 001 (dist=53.0mm): source: q_store, act_name: detach
Step 002 (dist=49.8mm): source: q_store, act_name: free_forward
Step 003 (dist=43.7mm): source: q_store, act_name: free_forward
Step 004 (dist=38.3mm): source: q_store, act_name: free_forward
Step 005 (dist=34.0mm): source: q_store, act_name: free_forward
Step 006 (dist=31.2mm): source: q_store, act_name: look_down_big
Step 007 (dist=31.2mm): source: q_store, act_name: look_down_big
Step 008 (dist=31.2mm): source: q_store, act_name: look_down_big
Step 009 (dist=31.2mm): source: q_store, act_name: free_forward
Step 010 (dist=25.2mm): source: q_store, act_name: look_down_big
Step 011 (dist=25.2mm): source: q_store, act_name: free_forward
Step 012 (dist=19.3mm): source: q_store, act_name: free_forward
Step 013 (dist=15.5mm): source: q_store, act_name: turn_left_big
Step 014 (dist=15.5mm): source: q_store, act_name: look_down_big
Step 015 (dist=15.5mm): source: q_store, act_name: look_down_big
Step 016 (dist=15.5mm): source: q_store, act_name: free_forward
Step 017 (dist=11.8mm): source: q_store, act_name: free_forward
Step 018 (dist=12.9mm): source: q_store, act_name: move_tangentially
Step 019 (dist=11.2mm): source: q_store, act_name: move_tangentially
Step 020 (dist=10.1mm): source: q_store, act_name: look_down_big
Step 021 (dist=10.1mm): source: q_store, act_name: move_tangentially
Step 022 (dist=9.9mm): source: q_store, act_name: free_forward
Step 023 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 024 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 025 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 026 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 027 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 028 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 029 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 030 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 031 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 032 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 033 (dist=14.7mm): source: q_store, act_name: look_up_big
Step 034 (dist=14.7mm): source: q_store, act_name: free_forward
Step 035 (dist=11.9mm): source: q_store, act_name: look_up_big
Step 036 (dist=11.9mm): source: q_store, act_name: look_up_big
Step 037 (dist=11.9mm): source: q_store, act_name: turn_left_big
Step 038 (dist=11.9mm): source: q_store, act_name: turn_right_big
Step 039 (dist=11.9mm): source: q_store, act_name: turn_left_big
Step 040 (dist=11.9mm): source: q_store, act_name: turn_left_big
Step 041 (dist=11.9mm): source: q_store, act_name: free_forward
Step 042 (dist=9.7mm): source: q_store, act_name: turn_left_big
Step 043 (dist=9.7mm): source: q_store, act_name: turn_left_big
Step 044 (dist=9.7mm): source: q_store, act_name: turn_left_big
Step 045 (dist=9.7mm): source: q_store, act_name: turn_left_big
Step 046 (dist=9.7mm): source: q_store, act_name: free_forward_small
Step 047 (dist=9.3mm): source: q_store, act_name: turn_left_big
Step 048 (dist=9.3mm): source: q_store, act_name: look_up_big
Step 049 (dist=9.3mm): source: q_store, act_name: turn_left_big
Step 050 (dist=9.3mm): source: q_store, act_name: look_up_big
Step 051 (dist=9.3mm): source: sac, act_name: move_tangentially
Step 052 (dist=8.4mm): source: q_store, act_name: move_tangentially
Step 053 (dist=6.6mm): source: q_store, act_name: detach
Step 054 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 055 (dist=7.0mm): source: q_store, act_name: move_tangentially
Step 056 (dist=6.0mm): source: q_store, act_name: detach
Step 057 (dist=6.0mm): source: q_store, act_name: move_tangentially
Step 058 (dist=6.5mm): source: q_store, act_name: detach_edge
Step 059 (dist=23.9mm): source: q_store, act_name: move_tangentially
Step 060 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 061 (dist=10.2mm): source: q_store, act_name: move_tangentially
Step 062 (dist=8.3mm): source: q_store, act_name: detach_edge
Step 063 (dist=24.0mm): source: q_store, act_name: free_forward
Step 064 (dist=17.7mm): source: q_store, act_name: free_forward
Step 065 (dist=13.4mm): source: q_store, act_name: free_forward
Step 066 (dist=13.2mm): source: q_store, act_name: look_up_big
Step 067 (dist=13.2mm): source: q_store, act_name: look_up_big
Step 068 (dist=13.2mm): source: q_store, act_name: look_up_big
Step 069 (dist=13.2mm): source: q_store, act_name: move_tangentially
Step 070 (dist=7.5mm): source: q_store, act_name: move_tangentially
Step 071 (dist=4.9mm): source: q_store, act_name: move_tangentially
Step 072 (dist=2.5mm): source: q_store, act_name: move_tangentially
