Result: success
Goal: [29.627375181879795, 7.513370852866554, -14.88382386636845, 71.30488414779707, 45.795914535412926, -89.57272063893555]
Steps: 41
Start: [-0.11356455281843036, -17.1168893422503, 26.214401775633497, -110.32559421199632, -0.9166471103817173, -2.472978952077426]
End: [29.16558816525789, 5.386895479725598, -17.188128420452877, 36.82482867679812, -59.013684447166355, -32.69700072777121]
Start distance: 56.4mm
End distance: 3.2mm

Step 001 (dist=56.4mm): source: sac, act_name: move_tangentially
Step 002 (dist=56.4mm): source: q_store, act_name: move_tangentially
Step 003 (dist=55.0mm): source: q_store, act_name: move_tangentially
Step 004 (dist=53.7mm): source: q_store, act_name: move_tangentially
Step 005 (dist=52.5mm): source: q_store, act_name: move_tangentially
Step 006 (dist=51.5mm): source: q_store, act_name: move_tangentially
Step 007 (dist=50.7mm): source: q_store, act_name: move_tangentially
Step 008 (dist=50.0mm): source: q_store, act_name: move_tangentially
Step 009 (dist=49.5mm): source: q_store, act_name: move_tangentially
Step 010 (dist=49.2mm): source: q_store, act_name: move_tangentially
Step 011 (dist=49.0mm): source: q_store, act_name: move_tangentially
Step 012 (dist=49.1mm): source: q_store, act_name: move_tangentially
Step 013 (dist=49.3mm): source: q_store, act_name: move_tangentially
Step 014 (dist=49.7mm): source: q_store, act_name: move_tangentially
Step 015 (dist=49.9mm): source: q_store, act_name: move_tangentially
Step 016 (dist=49.5mm): source: q_store, act_name: move_tangentially
Step 017 (dist=48.6mm): source: q_store, act_name: move_tangentially
Step 018 (dist=47.5mm): source: q_store, act_name: move_tangentially
Step 019 (dist=46.4mm): source: q_store, act_name: move_tangentially
Step 020 (dist=45.2mm): source: q_store, act_name: move_tangentially
Step 021 (dist=44.2mm): source: q_store, act_name: move_tangentially
Step 022 (dist=43.3mm): source: q_store, act_name: move_tangentially
Step 023 (dist=41.2mm): source: q_store, act_name: move_tangentially
Step 024 (dist=39.1mm): source: q_store, act_name: move_tangentially
Step 025 (dist=37.0mm): source: q_store, act_name: move_tangentially
Step 026 (dist=34.8mm): source: q_store, act_name: move_tangentially
Step 027 (dist=32.6mm): source: q_store, act_name: move_tangentially
Step 028 (dist=30.0mm): source: q_store, act_name: move_tangentially
Step 029 (dist=27.3mm): source: q_store, act_name: move_tangentially
Step 030 (dist=24.6mm): source: q_store, act_name: move_tangentially
Step 031 (dist=21.8mm): source: q_store, act_name: move_tangentially
Step 032 (dist=19.0mm): source: q_store, act_name: move_tangentially
Step 033 (dist=16.1mm): source: q_store, act_name: move_tangentially
Step 034 (dist=13.2mm): source: q_store, act_name: move_tangentially
Step 035 (dist=10.3mm): source: q_store, act_name: move_tangentially
Step 036 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 037 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 038 (dist=9.5mm): source: q_store, act_name: move_tangentially
Step 039 (dist=7.2mm): source: q_store, act_name: move_tangentially
Step 040 (dist=5.4mm): source: q_store, act_name: move_tangentially
Step 041 (dist=3.2mm): source: q_store, act_name: move_tangentially
